user_id,plan,segment,total_watch_time_min,session_count,days_active,avg_engagement_score,week_over_week_change_pct,engagement_trend
usr_332050,monthly,Casual,4.5,2,0,6,-44.69,At Risk
usr_330203,annual,Regular,4.17,1,0,5,-44.55,At Risk
usr_165953,premium,Regular,19.67,0,1,14,-44.42,At Risk
usr_108308,monthly,Casual,8.12,1,2,30,-44.37,At Risk
usr_218033,premium,Regular,26.86,1,2,19,-44.24,At Risk
usr_178781,monthly,Casual,0.43,1,0,19,-43.98,At Risk
usr_856254,annual,Casual,24.18,2,0,27,-43.71,At Risk
usr_374907,monthly,Casual,1.1,2,0,25,-43.59,At Risk
usr_724674,monthly,Regular,6.44,1,1,33,-42.64,At Risk
usr_193070,annual,Casual,7.64,0,0,21,-42.08,At Risk
usr_679205,premium,Regular,15.96,0,2,11,-42.08,At Risk
usr_728880,premium,Regular,25.22,1,1,34,-42.01,At Risk
usr_598870,annual,Regular,17.39,2,2,19,-41.78,At Risk
usr_417623,annual,Regular,15.71,0,0,33,-41.32,At Risk
usr_358930,premium,Casual,13.88,0,1,18,-41.31,At Risk
usr_287210,monthly,Casual,6.76,1,2,20,-40.98,At Risk
usr_486594,annual,Casual,27.99,2,0,6,-40.47,At Risk
usr_105287,annual,Casual,4.03,2,1,16,-39.96,At Risk
usr_931538,monthly,Casual,25.49,0,0,18,-39.87,At Risk
usr_928533,premium,Regular,17.15,2,0,16,-39.87,At Risk
usr_151745,annual,Regular,16.46,0,0,16,-39.84,At Risk
usr_789376,monthly,Casual,16.19,2,2,5,-39.19,At Risk
usr_286141,monthly,Casual,12.87,0,2,29,-39.04,At Risk
usr_310176,premium,Casual,26.21,2,0,21,-38.08,At Risk
usr_136668,monthly,Casual,6.72,0,0,22,-38.04,At Risk
usr_417428,monthly,Regular,7.8,2,1,21,-38.01,At Risk
usr_294053,premium,Casual,17.61,0,2,14,-37.91,At Risk
usr_155609,premium,Regular,1.08,0,1,34,-37.84,At Risk
usr_950916,annual,Regular,17.19,0,1,29,-37.21,At Risk
usr_906991,monthly,Casual,24.06,0,0,33,-36.93,At Risk
usr_418717,monthly,Casual,0.51,1,0,11,-36.34,At Risk
usr_561243,annual,Casual,7.51,1,1,19,-36.0,At Risk
usr_243026,monthly,Regular,17.65,1,2,12,-35.58,At Risk
usr_321897,annual,Casual,15.98,2,0,27,-35.57,At Risk
usr_404462,premium,Regular,2.73,1,0,10,-33.73,At Risk
usr_632954,premium,Casual,16.12,2,1,6,-33.36,At Risk
usr_867214,premium,Regular,4.95,0,1,5,-32.99,At Risk
usr_489593,monthly,Regular,5.54,2,2,28,-32.89,At Risk
usr_629036,premium,Regular,7.46,2,2,34,-32.68,At Risk
usr_694124,monthly,Casual,23.07,0,1,10,-32.68,At Risk
usr_274944,premium,Regular,4.29,1,1,14,-32.65,At Risk
usr_126734,monthly,Casual,14.22,1,2,13,-32.54,At Risk
usr_962129,premium,Regular,4.16,0,2,7,-32.12,At Risk
usr_907043,premium,Regular,5.59,2,2,18,-31.92,At Risk
usr_189930,premium,Casual,16.49,0,2,27,-31.35,At Risk
usr_955474,premium,Regular,18.35,2,2,16,-30.85,At Risk
usr_214352,monthly,Regular,29.03,1,0,13,-30.79,At Risk
usr_520571,monthly,Casual,5.09,1,1,32,-30.41,At Risk
usr_300244,monthly,Regular,29.99,1,2,25,-30.37,At Risk
usr_762301,premium,Casual,18.52,1,1,22,-30.25,At Risk
usr_430388,premium,Regular,9.96,1,2,23,-30.22,At Risk
usr_485925,annual,Regular,15.18,2,0,15,-30.15,At Risk
usr_766490,premium,Casual,18.96,0,0,7,-29.94,At Risk
usr_140738,premium,Regular,22.33,1,0,25,-29.91,At Risk
usr_491182,annual,Casual,16.09,2,0,28,-29.9,At Risk
usr_814016,annual,Casual,17.12,2,0,10,-29.86,At Risk
usr_341983,premium,Casual,15.23,0,2,5,-29.73,At Risk
usr_136187,monthly,Regular,6.22,0,0,12,-29.55,At Risk
usr_159379,premium,Regular,21.92,1,2,19,-29.5,At Risk
usr_468501,premium,Regular,6.5,2,2,5,-29.31,At Risk
usr_231484,premium,Regular,14.88,1,0,22,-29.28,At Risk
usr_104000,premium,Casual,0.8,2,1,7,-28.92,At Risk
usr_127632,premium,Casual,3.07,0,0,12,-28.72,At Risk
usr_707274,monthly,Regular,24.62,2,0,5,-28.71,At Risk
usr_497827,premium,Casual,18.78,1,0,28,-28.53,At Risk
usr_415826,premium,Regular,12.62,0,0,18,-27.4,At Risk
usr_322866,annual,Regular,20.99,0,1,32,-27.14,At Risk
usr_663586,annual,Casual,17.14,0,2,13,-26.39,At Risk
usr_451005,monthly,Casual,21.65,0,2,13,-26.24,At Risk
usr_718362,premium,Casual,0.67,1,1,26,-25.69,At Risk
usr_334677,premium,Regular,29.58,1,2,23,-25.57,At Risk
usr_891189,monthly,Regular,4.97,0,0,21,-25.49,At Risk
usr_581680,annual,Casual,24.49,0,1,34,-25.2,At Risk
usr_274293,monthly,Casual,9.9,2,0,30,-25.01,At Risk
usr_939873,premium,Casual,29.25,1,1,23,-24.48,At Risk
usr_498929,monthly,Casual,8.13,0,1,7,-24.44,At Risk
usr_488349,premium,Casual,16.28,2,2,9,-24.33,At Risk
usr_932972,monthly,Regular,17.82,2,0,26,-24.27,At Risk
usr_886667,annual,Regular,23.83,2,0,9,-24.23,At Risk
usr_748373,premium,Regular,3.68,0,0,30,-24.03,At Risk
usr_289407,monthly,Regular,24.84,0,2,8,-23.95,At Risk
usr_537477,annual,Regular,4.29,1,1,16,-23.33,At Risk
usr_525695,premium,Casual,3.83,0,2,28,-23.32,At Risk
usr_989765,monthly,Casual,28.87,2,0,29,-23.29,At Risk
usr_585008,monthly,Regular,2.55,2,0,5,-22.99,At Risk
usr_750419,annual,Regular,11.96,1,1,9,-22.83,At Risk
usr_488043,premium,Casual,22.11,2,1,20,-22.74,At Risk
usr_617313,premium,Casual,21.03,1,0,22,-22.7,At Risk
usr_278352,monthly,Regular,15.16,0,1,17,-22.61,At Risk
usr_871253,annual,Regular,13.57,2,2,16,-22.18,At Risk
usr_277247,annual,Regular,12.85,0,0,30,-22.12,At Risk
usr_645977,monthly,Casual,28.39,0,2,17,-21.73,At Risk
usr_517009,premium,Casual,17.43,0,1,14,-21.68,At Risk
usr_234869,premium,Casual,2.07,2,0,18,-21.64,At Risk
usr_233515,annual,Casual,17.5,2,2,30,-21.32,At Risk
usr_820255,monthly,Regular,25.41,0,2,32,-21.25,At Risk
usr_546438,annual,Casual,21.44,0,0,5,-21.13,At Risk
usr_857907,annual,Casual,6.38,0,2,21,-20.97,At Risk
usr_738353,annual,Regular,29.79,0,2,23,-20.77,At Risk
usr_222883,monthly,Casual,29.92,1,1,24,-20.76,At Risk
