week_start_date,segment,plan,total_users,avg_watch_time_min,avg_sessions,avg_engagement_score,avg_wow_change_pct,surging_users,at_risk_users,prev_avg_engagement_score,engagement_score_delta
2024-01-08,Power User,free,1626,275.59,9.3,90.6,6.94,153,186,90.8,-1.0
2024-01-08,Power User,trial,1371,264.97,8.1,94.4,11.65,97,174,96.3,-1.2
2024-01-08,Power User,monthly,521,180.85,8.2,85.5,3.0,28,128,87.1,-2.5
2024-01-08,Power User,annual,1457,203.96,11.6,86.8,-4.07,161,182,89.5,2.7
2024-01-08,Power User,basic,815,247.59,10.7,75.3,-0.38,60,165,74.7,2.0
2024-01-08,Power User,premium,534,289.12,9.8,88.3,1.23,54,97,90.1,2.8
2024-01-08,Regular,free,4777,86.99,4.2,73.2,4.55,394,886,73.0,2.8
2024-01-08,Regular,trial,4767,104.84,4.6,64.7,9.31,527,674,65.9,-2.0
2024-01-08,Regular,monthly,4568,106.33,3.6,50.1,6.31,551,956,48.5,-2.6
2024-01-08,Regular,annual,4278,99.06,5.7,71.3,-1.01,254,665,70.2,1.0
2024-01-08,Regular,basic,4731,98.25,5.7,61.8,-7.61,573,1012,61.4,1.6
2024-01-08,Regular,premium,2870,62.43,5.1,52.8,-1.21,201,672,52.9,0.4
2024-01-08,Casual,free,4757,19.18,2.2,38.5,-10.94,686,903,37.3,2.3
2024-01-08,Casual,trial,5729,39.24,2.3,46.8,1.07,393,1339,46.6,1.8
2024-01-08,Casual,monthly,6302,42.2,1.5,41.2,-14.99,537,918,43.2,0.2
2024-01-08,Casual,annual,7413,21.66,1.2,33.4,3.86,610,1318,32.2,-0.8
2024-01-08,Casual,basic,7659,22.41,2.4,42.8,-12.04,1147,1072,39.9,-0.5
2024-01-08,Casual,premium,3854,23.36,2.8,31.0,-12.1,381,955,32.5,1.0
2024-01-08,Dormant,free,5202,0.0,0.0,5.5,-15.16,0,1560,3.7,-0.2
2024-01-08,Dormant,trial,12777,0.0,0.0,9.5,-9.28,0,3833,12.0,2.0
2024-01-08,Dormant,monthly,14339,0.0,0.0,7.6,-6.08,0,4301,5.5,-1.0
2024-01-08,Dormant,annual,11546,0.0,0.0,10.7,-3.81,0,3463,11.6,-2.4
2024-01-08,Dormant,basic,13680,0.0,0.0,10.4,-12.27,0,4104,7.7,-2.2
2024-01-08,Dormant,premium,13155,0.0,0.0,11.0,-15.82,0,3946,10.8,1.2
