segment,plan,user_count,avg_watch_time,avg_wow_change,pct_growing,pct_declining
Dormant,premium,11614,0.0,-19.45,0.0,53.2
Dormant,monthly,13716,0.0,-18.37,0.0,30.2
Dormant,annual,9780,0.0,-16.11,0.0,32.8
Power User,trial,501,299.55,14.31,42.3,36.5
Power User,annual,651,228.54,12.76,54.0,38.1
Power User,free,762,259.2,11.34,42.2,25.9
Regular,premium,2815,76.85,-9.51,45.8,15.3
Casual,free,4243,29.1,-9.41,55.3,32.4
Dormant,free,12343,0.0,-8.94,0.0,41.9
Casual,premium,3154,23.86,-8.55,53.9,14.1
Regular,annual,4277,83.59,7.84,45.2,33.8
Casual,monthly,4139,23.83,-7.3,54.0,19.5
Power User,basic,1943,287.83,7.13,20.4,13.0
Casual,annual,3127,26.18,-7.11,53.8,37.9
Regular,trial,3527,98.98,6.98,46.3,27.0
Casual,trial,4060,42.85,-6.44,58.7,38.9
Regular,free,2956,73.46,4.24,29.5,19.8
Dormant,basic,13173,0.0,-4.08,0.0,65.6
Dormant,trial,5537,0.0,-3.8,0.0,64.7
Regular,basic,2797,98.71,3.38,54.6,16.9
Regular,monthly,2459,90.53,2.73,30.0,27.7
Casual,basic,5733,17.92,-2.7,59.6,14.2
Power User,monthly,1514,220.68,1.98,49.0,36.9
Power User,premium,598,296.84,0.68,32.2,24.6
